product_id	product_sku	product_name	product_status	content_preview	excerpt_preview
32280	EDU-PL-10-00	TOTEM HEXAGONAL	publish	Conocimientos específicos: -Pensamiento abstracto-Generación de esquemas mentales-Pensamiento lógico-matemático-Seriación mentalEspecificacionesLargo: 0.6 m Ancho:0.60 m Alto: 1.75mÁrea segura: 6.00 m x 3.25 mCapacidad 1 niño	
32296	BAN-PM-01-00	BANCA FUJI A	publish	Banca sin respaldo de plastimadera estandar en forma de poligono irregular, sistema modular. Lado derechoanclaje: Enterrar a 30 cm o taquetear sobre plancha de concreto con espesor de 15cm con resistencia 200kg/cm2Colores: A elegir 1 color acero, 1 color de plastimadera estandarEspecificacionesDimen	
32297	MEC-CR-06-00	VERONA	publish	Escalera de acceso, trepadero espiral,1 panel gato de plastipanel y 2 figuras de plastipanel, tubo comunicador con burbuja de acrilico y resbaladilla de plastico rotomoldeado de altura 0.90 m.Anclaje: Enterrar a 30 cm o taquetear sobre plancha de concreto con espesor de 15cm con resistencia 200kg/cm	
32302	BAN-PM-01-01	BANCA FUJI B	publish	Banca sin respaldo de plastimadera estandar en forma de poligono irregular, sistema modular, lado izquierdoAnclaje: Enterrar a 30 cm o taquetear sobre plancha de concreto con espesor de 15cm con resistencia 200kg/cm2Colores: A elegir 1 color acero, 1 color de plastimadera estandarEspecificacionesDim	
32318	EJE-EST-05-00	EJERCITADOR AROS CORTO Y 2 POSTES	publish	Barra con 4 posiciones para dominadas y 2 aros cortos. Sistema modular con abrazaderas.Anclaje: Enterrar a 30cmColores: a elegir 2 colores de aceroEspecificacionesDimensiones: Largo: 1.20 m Ancho: 0.55 m Alto: 2.60 mÁrea de seguridad: 2.20 m x 1.55 mCapacidad: 1 personaEdad: + 13 años	
32320	EJE-EST-10-00	EJERCITADOR BARRAS DE ESTIRAMIENTO	publish	Estructura para estiramientos. Sistema modular con abrazaderas.Anclaje: Enterrar a 30cmColores: a elegir 2 colores de aceroEspecificacionesDimensiones: Largo: 2.30 m Ancho: 0.10 m Alto: 2.20 m Área de seguridad: 4.30 m x 2.90 mCapacidad: 2 personaEdad: + 13 años	
32322	MEC-CR-08-00	Juego MAINE INCLUSIVO	publish	1 Panel gato de plastipanel, Panel O con burbuja acrílica, 1 panel dactilológico, barandal con volante, 2 resbaladilla plastico rotomoldeado alt. 0.90 m, 1 trepadero espiral, techo horizontal de plastico rotomoldeadoAnclaje: Enterrar a 30 cm o taquetear sobre plancha de concreto con espesor de 15cm	
32323	MER-PR-03-00	Juego CALIFORNIA	publish	Resbaladilla de plástico rotomodeadol alt. 1.50 m, barandal con figuras de plastipanel, escalador de piedras curvo, resbaladilla twist de plastico rotomoldeado, trepadero espiral, techo horizontal de plástico rotomoldeadoAnclaje: Enterrar a 30 cm o taquetear sobre plancha de concreto con espesor de	
32327	MEV-CR-02-00	Juego PARMA	publish	Escalera curva, 1 resbaladilla de plastico rotomoldeadoalt. 1.20 m, 1 resbaladilla de plástico rotomoldeado alt. 1.80 m, esfera, pasamanos , panel gato plastipanel,accceso curvo de pideras, 1 resbaladilla twist de plástico rotomoldeado, 1 techo “Valley Roof” de compuesto plastico reforzado, 1 plataf	
32334	APA-00-10-00	APARCABICICLETAS ANGULAR	publish	Estrucura con 5 triangulos para asegurar bicicleta.*No incluye bicicletaAnclaje: Enterrar a 30 cm o taquetear sobre plancha de concreto con espesor de 15cm con resistencia 200kg/cm2Colores: A elegir 1 color aceroEspecificacionesDimensiones: Largo: 1.30 m Ancho: 0.60 m Alto: 0.90m Capacidad: 5 bicicl	
32337	EJE-EST-07-00	EJERCITADOR BARRAS PARALELAS Y 2 POSTES	publish	Estructura con barras paralelas a 2 niveles. Sistema modular con abrazaderas.Anclaje: Enterrar a 30cmColores: a elegir 2 colores de aceroEspecificacionesDimensiones:Largo: 1.20 m Ancho: 1.00 m Alto: 2.60 mÁrea de seguridad:: 2.20 m x 2.00 m.Capacidad: 1 personaEdad: + 13 años	
32338	EJE-IN-01-00	EJERCITADOR DOMINADAS BARRAS DOBLE INCLUSIVO	publish	EspecificacionesLargo: 1.80 m Ancho: 1.00 m Alto: 1.85 mÁrea de seguridad:: 2.80 m x 2.00 mCapacidad: 2 personas*No incluye silla de ruedas	
32423	EJE-EST-10-00	EJERCITADOR BARRAS DE ESTIRAMIENTO	publish		
32713	EVA-PR-02-00	Juego Atraction Basic	publish		
32728	EOS-CR-01-00	Juego BARCELONA (EOS-CR-01-00)	publish		
32733	TDF-00-01-00	Juego VIZCAYA (TDF-00-01-00)	publish		
