excel_row	sku	model	sector
125	BOT-LP-03-01	BOTE GRIJALVA DOBLE	Botes de basura
126	BOT-LP-04-00	BOTE RIN	Botes de basura
127	BOT-LP-04-01	BOTE RIN DOBLE	Botes de basura
128	BOT-LP-04-02	BOTE RIN TRIPLE	Botes de basura
129	BOT-LP-05-00	BOTE ZAIRE	Botes de basura
130	BOT-LP-07-00	BOTE TOKYO	Botes de basura
131	BOT-00-01-00	BASURERO CENTRO HISTORICO	Botes de basura
132	BOT-00-01-01	BOTE CENTRO HISTORICO DOBLE	Botes de basura
133	BOT-00-02-00	BOTE KUMA	Botes de basura
134	BOT-00-03-00	BOTE MOSCOVA	Botes de basura
135	BOT-LP-09-00	BOTE MISISIPI	Botes de basura
136	BOT-PM-02-00	BOTE OKA PLASTIMADERA	Botes de basura
137	BOT-00-05-00	BOTE CUADRADO	Botes de basura
138	BOT-PM-01-00	BOTE CIRCULAR	Botes de basura
139	BOT-PL-01-00		Botes de basura
140	BOT-00-04-00	BOTE TRIANGULAR	Botes de basura
141	BAN-00-01-00	BANCA LOA LAMINA	Mesas y bancas
142	BAN-PM-03-00	BANCA LOA PLASTIMADERA	Mesas y bancas
143	BAN-00-04-00	BANCA CON PERFILES	Mesas y bancas
144	BAN-00-15-00	BANCA TUBULAR	Mesas y bancas
145	BAN-00-07-00	BANCA ALPES	Mesas y bancas
146	BAN-00-09-00	BANCA HIMALAYA	Mesas y bancas
147	BAN-PM-04-00	BANCA TÁCANA	Mesas y bancas
148	BAN-00-05-00	BANCA PISSIS	Mesas y bancas
149	BAN-PP-04-00	BANCA KIRO	Mesas y bancas
150	BAN-PV-02-00	BANCA PMP PVC	Mesas y bancas
151	BAN-IN-02-00	BANCA LOGAN INCLUSIVA PVC	Mesas y bancas
152	BAN-PV-01-00	BANCA PUMORI PVC	Mesas y bancas
153	BAN-LP-06-00	BANCA CIRCULAR	Mesas y bancas
154	BAN-LP-03-00	BANCA PALERMO	Mesas y bancas
155	BAN-LP-07-00	BANCA EVEREST	Mesas y bancas
156	BAN-LP-04-00	BANCA AKIER	Mesas y bancas
157	BAN-PL-02-00	BANCA ONON	Mesas y bancas
158	BAN-PM-07-00	BANCA BARCENA	Mesas y bancas
159	BAN-PM-01-00	BANCA FUJI A	Mesas y bancas
160	BAN-PM-01-01	BANCA FUJI B	Mesas y bancas
161	BAN-PP-05-00	BANCA IKA	Mesas y bancas
162	BAN-IN-01-00	BANCA LOGAN INCLUSIVA	Mesas y bancas
163	BAN-PM-05-00	BANCA PARA BOLERO	Mesas y bancas
164	BAN-PP-03-00	BANCA PUMORI PLASTIMADERA	Mesas y bancas
165	BAN-MA-01-00	BANCA CIRCULAR JUNKO	Mesas y bancas
166	BAN-PP-01-00	BANCA PMP PLASTIMADERA	Mesas y bancas
167	BAN-PP-09-00	BANCA MIKENO	Mesas y bancas
168	BAN-00-02-00	BANCA VELETA	Mesas y bancas
169	BAN-MS-03-01	BANCA TINDAYA SIN RESPALDO	Mesas y bancas
170	COL-00-01-00	2 COLUMPIOS ARIA	Mesas y bancas
171	BAN-PM-10-00	BANCA CENTRO HISTORICO CON PLASTIMADERA	Mesas y bancas
172	BAN-00-10-00	BANCA CIRCULAR CON ASIENTO	Mesas y bancas
173	BAN-CR-01-00	BANCA VINSONS	Mesas y bancas
174	BAN-CR-02-00	BANCA DEVI	Mesas y bancas
175	BAN-CR-04-00	BANCA VINSONS KLEIN	Mesas y bancas
176	BAN-CR-05-00	BANCA VINSONS B	Mesas y bancas
177	MES-MA-01-00	MESA CIRCULAR PARA ARBOL	Mesas y bancas
178	MES-PM-03-00	MESAPICNIC CHESTER	Mesas y bancas
179	MES-IN-01-00	MESA DE PICNIC INCLUSIVA	Mesas y bancas
180	MES-PP-03-00	MESA DE PICNIC	Mesas y bancas
181	MES-PM-01-00	MESA DE PICNIC PLASTIMADERA	Mesas y bancas
182	MES-PV-01-00	MESA DE PICNIC PVC	Mesas y bancas
183	MES-LP-01-01	MESA MERCATO DOPPIO	Mesas y bancas
184	MES-LP-02-01	MESA KENYA CON SOMBRILLA	Mesas y bancas
185	MES-LP-06-00	MESA PICNIC JAYA	Mesas y bancas
186	MES-LP-02-00	MESA KENYA	Mesas y bancas
187	MES-LP-04-00	4 MESAS PICNIC CON PERGOLA	Mesas y bancas
188	MES-LP-07-00	MESA PICNIC TRIX	Mesas y bancas
189	MES-PM-02-00	MESA KENYA PLASTIMADERA	Mesas y bancas
190	MES-LP-03-00	MESA NUPTSE	Mesas y bancas
191	MES-LP-05-00	MESA RODAS CON TECHO CIRCULAR	Mesas y bancas
192	MES-LP-04-01	MESA MOEBIUS CON COLUMPIOS EN PLASTIMADERA	Mesas y bancas
193	APA-00-01-00	APARCABICICLETA ONE CURVO	Centro Comercial, Restaurantes y Hoteles
194	APA-00-05-00	APARCABICICLETA ONE RECTANGULAR	Centro Comercial, Restaurantes y Hoteles
195	APA-00-03-00	APARCABICICLETA ONE SEMIONDULADO	Centro Comercial, Restaurantes y Hoteles
196	APA-00-04-00	APARCABICICLETAS ONE MARCO	Centro Comercial, Restaurantes y Hoteles
197	APA-00-06-00	APARCABICICLETA SIX ONDULADO	Residenciales y fraccionamientos
198	APA-00-07-00	APARCABICICLETA THREE TRIANGULAR	Residenciales y fraccionamientos
199	APA-00-13-00	APARCABICICLETAS RUDY	Residenciales y fraccionamientos
200	APA-00-10-00	APARCABICICLETAS ANGULAR	Residenciales y fraccionamientos
201	SEÑ-00-03-00	SEÑALETICA BASTON	Centro Comercial, Restaurantes y Hoteles
202	SEÑ-00-04-00	SEÑALETICA CUBICA	Centro Comercial, Restaurantes y Hoteles
203	SEÑ-00-05-00	SEÑALETICA BANDERA	Centro Comercial, Restaurantes y Hoteles
204	SEÑ-00-06-00	SEÑALETICA VERTICAL	Centro Comercial, Restaurantes y Hoteles
205	SEÑ-00-10-00	SEÑALETICA DIRECCIÓN	Centro Comercial, Restaurantes y Hoteles
206	SEÑ-00-13-00	SEÑALETICA ARBOL	Residenciales y fraccionamientos
207	SEÑ-00-14-00	MESA MAPA	Residenciales y fraccionamientos
208	SEÑ-00-15-00	SEÑALETICA TOTEM	Residenciales y fraccionamientos
209	SEÑ-PT-02-00	TOTEM CON LUZ	Residenciales y fraccionamientos
210	SEÑ-PL-01-00	SEÑALETICA PLASTIPANEL 50 X 25 CM	Residenciales y fraccionamientos
211	TER-PP-01-00	TERRAZA	Mesas y bancas
212	MES-PP-01-00	MESA CUBI	Mesas y bancas
213	MES-PP-02-00	MESA PICNIC 3/3	Mesas y bancas
214	MMA-117	MACETA ASIMETRICA CHICA	Centro Comercial, Restaurantes y Hoteles
215	MMA-217	MACETA GEOMETRICA GRANDE	Centro Comercial, Restaurantes y Hoteles
216	MMA-118	MACETA GEOMETRICA MEGAGRANDE	Centro Comercial, Restaurantes y Hoteles
217	BOT-IX-01-00	BOTE GANGES	Botes de basura
218	BOT-IX-02-00	BOTE GRIJALVA DOBLE CON TAPA	Botes de basura
219	CMT-520P	JARDINERA BAJA	Centro Comercial, Restaurantes y Hoteles
220	CMT-320P	MACETA TRAPECIO	Centro Comercial, Restaurantes y Hoteles
221	CMT-420P	MACETA ALTA	Centro Comercial, Restaurantes y Hoteles
222	CMT-220P	MACETA REDONDA	Centro Comercial, Restaurantes y Hoteles
223	CMT-118B	BANCA TIKAL	Mesas y bancas
224	CMT-218B	BANCO ANGKOR	Mesas y bancas
225	CMT-120P	BANCA COMPLETA	Mesas y bancas
226	CPL-124	BANCA GRAPA	Mesas y bancas
227	CPL-224	BANCA CUBO	Mesas y bancas
228	CPL-324	BANCA LINGOTE	Mesas y bancas
229	CPL-424	MESA DE AJEDREZ DE CONCRETO	Mesas y bancas
230	SVC-NEG	HOME TOP - IT	Residenciales y fraccionamientos
231	LEPDM-AMA	TOP-IT-TOPE DE CONTENSION	Residenciales y fraccionamientos
232	LETDM-AMA	TARDO MODULAR	Residenciales y fraccionamientos
233	LEPDM-MAC	TARDO CABECERO MACHO	Residenciales y fraccionamientos
234	LEPDM-HEM	TARDO CABECERO HEMBRA	Residenciales y fraccionamientos
235	OKST-J02X	EJERCITADOR POTRO	Gimnasios funcionales
236	OKST-M04X	EJERCITADOR CAMINADORA OK	Gimnasios funcionales
237	OKOK-H01	EJERCITADO REMADORA OK	Gimnasios funcionales
238	OKST-T08X	EJERCITADOR ELIPTICA OK	Gimnasios funcionales
239	OKOK-Z08A	EJERCITADOR BICICLETA OK	Gimnasios funcionales
240	OKST-F01X	EJERCITADOR ABDOMINALES OK DOBLE	Gimnasios funcionales
241	OKST-Z05X	EJERCITADOR MOVIMIENTO DE CINTURA TRIPLE	Gimnasios funcionales
242	OKST-C01X	EJERCITADOR SURFER OK DOBLE	Gimnasios funcionales
243	OKST-Z01X	EJERCITADOR DE PIERNAS OK DOBLE	Gimnasios funcionales
244	OKST-Z04X	EJERCITADOR BRAZOS OK DOBLE	Gimnasios funcionales
245	OKST-Z03X	EJERCITADOR DE PECHO OK DOBLE	Gimnasios funcionales
246	OKOK-N01	EJERCITADOR CINTURA Y ESCALERAS OK	Gimnasios funcionales
247	OKST-S03X	EJERCITADOR BARRAS PARALELAS OK DOBLE	Gimnasios funcionales
248	EJE-EM-01-00	EJERCITADOR DE PIERNAS MEDIUM	Gimnasios funcionales
