sku	classification	repository_count	repository_ids	repository_statuses	repository_names	staging_count	staging_ids	staging_statuses	staging_names	production_count	production_ids	production_statuses	production_names
CAN-PL-01-00	all_three	1	6736	publish	TUNEL CANINO	1	6736	publish	TUNEL CANINO	1	6736	publish	TUNEL CANINO
CAN-PL-02-00	all_three	1	6748	publish	AROS CANINO	1	6748	publish	AROS CANINO	1	6748	publish	AROS CANINO
CAN-PL-03-00	all_three	1	22209	publish	SALTO ARO CANINO	1	22209	publish	SALTO ARO CANINO	1	22209	publish	SALTO ARO CANINO
CAN-PL-05-00	all_three	1	6752	publish	SALTO DOBLE CANINO	1	6752	publish	SALTO DOBLE CANINO	1	6752	publish	SALTO DOBLE CANINO
CAN-PL-06-00	all_three	1	6741	publish	VALLAS CANINO	1	6741	publish	VALLAS CANINO	1	6741	publish	VALLAS CANINO
CAN-PL-07-00	all_three	1	6731	publish	BANCA DE HUESO CANINO	1	6731	publish	BANCA DE HUESO CANINO	1	6731	publish	BANCA DE HUESO CANINO
CAN-PL-08-00	all_three	1	6757	publish	GRADAS CANINO	1	6757	publish	GRADAS CANINO	1	6757	publish	GRADAS CANINO
CAN-PL-09-00	all_three	1	7513	publish	MINI RAMPA CANINO	1	7513	publish	MINI RAMPA CANINO	1	7513	publish	MINI RAMPA CANINO
CAN-PL-10-00	all_three	1	6747	publish	BALANCIN CANINO	1	6747	publish	BALANCIN CANINO	1	6747	publish	BALANCIN CANINO
CAN-PL-11-00	all_three	1	6755	publish	MESA CANINA	1	6755	publish	MESA CANINA	1	6755	publish	MESA CANINA
CAN-PL-12-00	all_three	1	6739	publish	RAMPA CANINA	1	6739	publish	RAMPA CANINA	1	6739	publish	RAMPA CANINA
CAN-PL-15-00	all_three	1	6750	publish	BEBEDERO CANINO	1	6750	publish	BEBEDERO CANINO	1	6750	publish	BEBEDERO CANINO
CAN-PM-01-00	all_three	1	6763	publish	PASARELA CANINO	1	6763	publish	PASARELA CANINO	1	6763	publish	PASARELA CANINO
CAN-PP-01-00	all_three	1	8012	publish	POSTE DE BOLSAS CON BASURERO CANINO	1	8012	publish	POSTE DE BOLSAS CON BASURERO CANINO	1	8012	publish	POSTE DE BOLSAS CON BASURERO CANINO
CIR-00-02-00	all_three	1	6361	publish	CIRCUITO CALISTENIA BASICO	1	6361	publish	CIRCUITO CALISTENIA BASICO	1	6361	publish	CIRCUITO CALISTENIA BASICO
CIR-00-03-00	all_three	1	6364	publish	CIRCUITO CALISTENIA COMPLETO	1	6364	publish	CIRCUITO CALISTENIA COMPLETO	1	6364	publish	CIRCUITO CALISTENIA COMPLETO
CIR-00-04-00	all_three	1	6392	publish	CIRCUITO CROSS-FIT	1	6392	publish	CIRCUITO CROSS-FIT	1	6392	publish	CIRCUITO CROSS-FIT
CIR-00-06-00	all_three	1	6401	publish	CIRCUITO PARA DEPORTES	1	6401	publish	CIRCUITO PARA DEPORTES	1	6401	publish	CIRCUITO PARA DEPORTES
CIR-00-07-00	all_three	1	6405	publish	CIRCUITO DE EJERCICIOS BASIC	1	6405	publish	CIRCUITO DE EJERCICIOS BASIC	1	6405	publish	CIRCUITO DE EJERCICIOS BASIC
CIR-00-08-00	all_three	1	6411	publish	CIRCUITO DE EJERCICIOS COMPLETO	1	6411	publish	CIRCUITO DE EJERCICIOS COMPLETO	1	6411	publish	CIRCUITO DE EJERCICIOS COMPLETO
CIR-00-09-00	all_three	1	6416	publish	CIRCUITO DE EJERCICIOS	1	6416	publish	CIRCUITO DE EJERCICIOS	1	6416	publish	CIRCUITO DE EJERCICIOS
CIR-00-10-00	all_three	1	6423	publish	CIRCUITO HEXÁGONO DE EJERCICIO	1	6423	publish	CIRCUITO HEXÁGONO DE EJERCICIO	1	6423	publish	CIRCUITO HEXÁGONO DE EJERCICIO
CIR-00-11-00	all_three	1	6425	publish	CIRCUITO NINJA	1	6425	publish	CIRCUITO NINJA	1	6425	publish	CIRCUITO NINJA
CIR-00-14-00	all_three	1	29757	publish	GIMNASIO CALISTENIA C	1	29757	publish	GIMNASIO CALISTENIA C	1	29757	publish	GIMNASIO CALISTENIA C
CMT-118B	all_three	1	6526	publish	Banca Tikal	1	6526	publish	Banca Tikal	1	6526	publish	Banca Tikal
CMT-120P	all_three	1	19111	publish	BANCA COMPLETA	1	19111	publish	BANCA COMPLETA	1	19111	publish	BANCA COMPLETA
CMT-218B	all_three	1	6528	publish	Banco Angkor	1	6528	publish	Banco Angkor	1	6528	publish	Banco Angkor
CMT-220P	all_three	1	22424	publish	MACETA REDONDA	1	22424	publish	MACETA REDONDA	1	22424	publish	MACETA REDONDA
CMT-320P	all_three	1	22421	publish	MACETA TRAPECIO	1	22421	publish	MACETA TRAPECIO	1	22421	publish	MACETA TRAPECIO
CMT-420P	all_three	1	22422	publish	MACETA ALTA	1	22422	publish	MACETA ALTA	1	22422	publish	MACETA ALTA
CMT-520P	all_three	1	22419	publish	JARDINERA BAJA	1	22419	publish	JARDINERA BAJA	1	22419	publish	JARDINERA BAJA
COL-00-01-00	all_three	1	22370	publish	2 COLUMPIOS ARIA	1	22370	publish	2 COLUMPIOS ARIA	1	22370	publish	2 COLUMPIOS ARIA
COL-AB-01-00	all_three	1	7780	publish	COLUMPIO PP EN A CON 2 ASIENTOS DE BANDA	1	7780	publish	COLUMPIO PP EN A CON 2 ASIENTOS DE BANDA	1	7780	publish	COLUMPIO PP EN A CON 2 ASIENTOS DE BANDA
COL-AB-02-00	all_three	1	19063	publish	COLUMPIO PP EN A 3 ASIENTOS DE BANDA	1	19063	publish	COLUMPIO PP EN A 3 ASIENTOS DE BANDA	1	19063	publish	COLUMPIO PP EN A 3 ASIENTOS DE BANDA
COL-AB-03-00	all_three	1	7783	publish	COLUMPIO PP EN U CON 3 ASIENTOS DE BANDA	1	7783	publish	COLUMPIO PP EN U CON 3 ASIENTOS DE BANDA	1	7783	publish	COLUMPIO PP EN U CON 3 ASIENTOS DE BANDA
COL-AB-04-00	all_three	1	22667	publish	COLUMPIO PP EN A CON 4 ASIENTOS DE BANDA	1	22667	publish	COLUMPIO PP EN A CON 4 ASIENTOS DE BANDA	1	22667	publish	COLUMPIO PP EN A CON 4 ASIENTOS DE BANDA
COL-AB-06-00	all_three	1	7791	publish	COLUMPIO KRONE	1	7791	publish	COLUMPIO KRONE	1	7791	publish	COLUMPIO KRONE
COL-AB-10-00	all_three	1	6962	publish	COLUMPIO RESIDENCIAL 2 CANASTILLAS	1	6962	publish	COLUMPIO RESIDENCIAL 2 CANASTILLAS	1	6962	publish	COLUMPIO RESIDENCIAL 2 CANASTILLAS
COL-AS-01-00	all_three	1	7781	publish	COLUMPIO PP EN A CON 2 ASIENTOS DE SEGURIDAD	1	7781	publish	COLUMPIO PP EN A CON 2 ASIENTOS DE SEGURIDAD	1	7781	publish	COLUMPIO PP EN A CON 2 ASIENTOS DE SEGURIDAD
COL-BS-01-00	all_three	1	7789	publish	COLUMPIO CANGURO	1	7789	publish	COLUMPIO CANGURO	1	7789	publish	COLUMPIO CANGURO
COL-CR-03-00	all_three	1	7077	publish	Pasamanos Curvo con Canastilla Compuesto Plástico Reforzado	1	7077	publish	Pasamanos Curvo con Canastilla Compuesto Plástico Reforzado	1	7077	publish	Pasamanos Curvo con Canastilla Compuesto Plástico Reforzado
COL-IN-03-00	all_three	1	6494	publish	COLUMPIO CON CAMASTRO DE PLASTIPANEL	1	6494	publish	COLUMPIO CON CAMASTRO DE PLASTIPANEL	1	6494	publish	COLUMPIO CON CAMASTRO DE PLASTIPANEL
COL-MA-01-00	all_three	1	28412	publish	COLUMPIO DE MADERA	1	28412	publish	COLUMPIO DE MADERA	1	28412	publish	COLUMPIO DE MADERA
COL-PT-02-00	all_three	1	7411	publish	COLUMPIO LUCENDI	1	7411	publish	COLUMPIO LUCENDI	1	7411	publish	COLUMPIO LUCENDI
CON-CR-01-00	all_three	1	22323	publish	CONJUNTO DE MEDIA LUNA	1	22323	publish	CONJUNTO DE MEDIA LUNA	1	22323	publish	CONJUNTO DE MEDIA LUNA
CON-CR-02-00	all_three	1	7794	publish	COLUMPIO MULTIJUEGO	1	7794	publish	COLUMPIO MULTIJUEGO	1	7794	publish	COLUMPIO MULTIJUEGO
CON-CR-04-00	all_three	1	6964	publish	CONJUNTO RESIDENCIAL, COLUMPIOS Y BAJADA COMPUESTO PLASTICO REFORZADO 2.40M	1	6964	publish	CONJUNTO RESIDENCIAL, COLUMPIOS Y BAJADA COMPUESTO PLASTICO REFORZADO 2.40M	1	6964	publish	CONJUNTO RESIDENCIAL, COLUMPIOS Y BAJADA COMPUESTO PLASTICO REFORZADO 2.40M
CPL-124	all_three	1	29373	publish	BANCA GRAPA	1	29373	publish	BANCA GRAPA	1	29373	publish	BANCA GRAPA
CPL-224	all_three	1	29377	publish	BANCA CUBO	1	29377	publish	BANCA CUBO	1	29377	publish	BANCA CUBO
CPL-324	all_three	1	29380	publish	BANCA LINGOTE	1	29380	publish	BANCA LINGOTE	1	29380	publish	BANCA LINGOTE
CPL-424	all_three	1	29383	publish	MESA DE AJEDREZ DE CONCRETO	1	29383	publish	MESA DE AJEDREZ DE CONCRETO	1	29383	publish	MESA DE AJEDREZ DE CONCRETO
