source_sku	source_model	commercial_sector	resolution_type	canonical_sku	canonical_product_id	canonical_status	canonical_name	confidence	evidence
INT-PL-06-00	LABERINTO SENSORIAL	Escuelas y colegios	direct_sku	INT-PL-06-00	7467	publish	LABERINTO SENSORIAL	exact_sku	production_sku
TEM-PM-01-00	TIPPIE	Centro Comercial, Restaurantes y Hoteles	direct_sku	TEM-PM-01-00	7831	publish	TIPPIE	exact_sku	production_sku
INT-00-03-00	TUBO DIDACTICO GRANDE	Escuelas y colegios	direct_sku	INT-00-03-00	7828	publish	TUBO DIDACTICO GRANDE	exact_sku	production_sku
INT-PL-02-00	PANEL INTERACTIVO MUÑECOS	Escuelas y colegios	direct_sku	INT-PL-02-00	7100	publish	PANEL INTERACTIVO MUÑECOS	exact_sku	production_sku
INT-PL-03-00	PANEL INTERACTIVO LABERINTO	Escuelas y colegios	direct_sku	INT-PL-03-00	7103	publish	PANEL INTERACTIVO LABERINTO	exact_sku	production_sku
INT-PL-04-00	PANELES INTERACTIVOS	Centro Comercial, Restaurantes y Hoteles	direct_sku	INT-PL-04-00	7091	publish	PANELES INTERACTIVOS	exact_sku	production_sku
INT-PL-05-00	MURO SENSORIAL	Escuelas y colegios	direct_sku	INT-PL-05-00	7824	publish	MURO SENSORIAL	exact_sku	production_sku
COL-IN-03-00	COLUMPIO CON CAMASTRO DE PLASTIPANEL	Juegos inclusivos	direct_sku	COL-IN-03-00	6494	publish	COLUMPIO CON CAMASTRO DE PLASTIPANEL	exact_sku	production_sku
EOS-IN-02-00	MODULO URBANO INCLUSIVO	Juegos inclusivos	direct_sku	EOS-IN-02-00	7120	publish	Juego URBANO INCLUSIVO	exact_sku	production_sku
EOS-IN-03-00	MODULO CASTILLO INCLUSIVO	Juegos inclusivos	direct_sku	EOS-IN-03-00	22330	publish	Juego CASTILLO INCLUSIVO	exact_sku	production_sku
EOS-IN-05-02	MODULO MAINE INCLUSIVO	Juegos inclusivos	sku_alias	MEC-CR-08-00	32322	publish	Juego MAINE INCLUSIVO	confirmed_by_media	active_images_contain_source_sku
EOS-IN-04-01	MODULO INDIANA INCLUSIVO	Juegos inclusivos	direct_sku	EOS-IN-04-01	32321	publish	Juego INDIANA INCLUSIVO	exact_sku	production_sku
MMB-120	MODULO BARCO WOOD	Residenciales y fraccionamientos	direct_sku	MMB-120	22332	publish	Juego BARCO WOOD	exact_sku	production_sku
SUB-MA-01-00	SUBE Y BAJA DE MADERA NATURAL	Escuelas y colegios	direct_sku	SUB-MA-01-00	24871	publish	SUBE Y BAJA DE MADERA NATURAL	exact_sku	production_sku
MMR-122	MODULO RETOS BAJOS	Escuelas y colegios	direct_sku	MMR-122	22335	publish	Juego RETOS BAJOS	exact_sku	production_sku
COL-MA-01-00	COLUMPIO DE MADERA	Escuelas y colegios	direct_sku	COL-MA-01-00	28412	publish	COLUMPIO DE MADERA	exact_sku	production_sku
MMW-122	MODULO WOOD	Residenciales y fraccionamientos	direct_sku	MMW-122	22334	publish	Juego WOOD	exact_sku	production_sku
EOS-MA-01-00	MODULO MADERA A	Escuelas y colegios	direct_sku	EOS-MA-01-00	25233	publish	Juego MADERA A	exact_sku	production_sku
BOT-LP-01-00	BOTE PARANA	Botes de basura	direct_sku	BOT-LP-01-00	6260	publish	BOTE PARANA	exact_sku	production_sku
BOT-LP-01-01	BOTE PARANA DOBLE	Botes de basura	direct_sku	BOT-LP-01-01	24629	publish	BOTE PARANA DOBLE	exact_sku	production_sku
BOT-LP-02-00	BOTE OKA	Botes de basura	direct_sku	BOT-LP-02-00	6230	publish	BOTE OKA	exact_sku	production_sku
BOT-LP-02-02	BOTE OKA PERFORADA	Botes de basura	direct_sku	BOT-LP-02-02	22346	publish	BOTE OKA PERFORADA	exact_sku	production_sku
BOT-LP-03-00	BOTE GRIJALVA	Botes de basura	direct_sku	BOT-LP-03-00	6210	publish	BOTE GRIJALVA	exact_sku	production_sku
BOT-LP-03-01	BOTE GRIJALVA DOBLE	Botes de basura	direct_sku	BOT-LP-03-01	6243	publish	BOTE GRIJALVA DOBLE	exact_sku	production_sku
BOT-LP-04-00	BOTE RIN	Botes de basura	direct_sku	BOT-LP-04-00	6251	publish	BOTE RIN	exact_sku	production_sku
BOT-LP-04-01	BOTE RIN DOBLE	Botes de basura	direct_sku	BOT-LP-04-01	6255	publish	BOTE RIN DOBLE	exact_sku	production_sku
BOT-LP-04-02	BOTE RIN TRIPLE	Botes de basura	direct_sku	BOT-LP-04-02	6256	publish	BOTE RIN TRIPLE	exact_sku	production_sku
BOT-LP-05-00	BOTE ZAIRE	Botes de basura	direct_sku	BOT-LP-05-00	6247	publish	BOTE ZAIRE	exact_sku	production_sku
BOT-LP-07-00	BOTE TOKYO	Botes de basura	direct_sku	BOT-LP-07-00	6205	publish	BOTE TOKYO	exact_sku	production_sku
BOT-00-01-00	BASURERO CENTRO HISTORICO	Botes de basura	direct_sku	BOT-00-01-00	6207	publish	BOTE CENTRO HISTORICO	exact_sku	production_sku
BOT-00-01-01	BOTE CENTRO HISTORICO DOBLE	Botes de basura	direct_sku	BOT-00-01-01	24631	publish	BOTE CENTRO HISTORICO DOBLE	exact_sku	production_sku
BOT-00-02-00	BOTE KUMA	Botes de basura	direct_sku	BOT-00-02-00	6236	publish	BOTE KUMA	exact_sku	production_sku
BOT-00-03-00	BOTE MOSCOVA	Botes de basura	direct_sku	BOT-00-03-00	6218	publish	BOTE MOSCOVA	exact_sku	production_sku
BOT-LP-09-00	BOTE MISISIPI	Botes de basura	sku_alias	BOT-LP-05-01	6264	publish	BOTE MISISIPI	high	unique_normalized_name_match
BOT-PM-02-00	BOTE OKA PLASTIMADERA	Botes de basura	direct_sku	BOT-PM-02-00	22344	publish	BOTE OKA PLASTIMADERA	exact_sku	production_sku
BOT-00-05-00	BOTE CUADRADO	Botes de basura	direct_sku	BOT-00-05-00	6267	publish	BOTE CUADRADO	exact_sku	production_sku
BOT-PM-01-00	BOTE CIRCULAR	Botes de basura	direct_sku	BOT-PM-01-00	6271	publish	BOTE CIRCULAR	exact_sku	production_sku
