canonical_sku	canonical_product_id	canonical_name	commercial_sector
EJE-IN-03-00	6543	EJERCITADOR BRAZOS Y PIERNAS DOBLE INCLUSIVO	Gimnasios funcionales
EJE-IN-04-00	6546	EJERCITADOR COMBINADO DE BRAZOS Y MUÑECAS INCLUSIVO	Gimnasios funcionales
EJE-IN-07-00	6557	EJERCITADOR DOMINADAS EN BARRA FORTE INCLUSIVO	Gimnasios funcionales
EJE-IN-08-00	6561	EJERCITADOR BRAZOS Y MUÑECAS FORTE INCLUSIVO	Gimnasios funcionales
EJE-IN-09-00	6564	EJERCITADOR BRAZOS, MUÑECAS Y HOMBROS INCLUSIVO	Gimnasios funcionales
EJE-PE-01-00	6465	EJERCITADOR BARRA DE PESAS	Gimnasios funcionales
EJE-PE-02-00	6470	EJERCITADOR PECHO Y ESPALDA CON PESAS	Gimnasios funcionales
EL-118-4C	7383	INFINITO	Centro Comercial, Restaurantes y Hoteles
EL-1519-4C	7405	MILLER	Centro Comercial, Restaurantes y Hoteles
EL-1619-4C	7407	SIRIUS	Centro Comercial, Restaurantes y Hoteles
EL-619-4C	7395	TRAPIST	Centro Comercial, Restaurantes y Hoteles
EOS-00-04-00	24851	Juego Iggy	Centro Comercial, Restaurantes y Hoteles
EOS-00-05-00	24856	Juego Yety	Residenciales y fraccionamientos
EOS-CR-01-00	32728	Juego BARCELONA (EOS-CR-01-00)	Juegos de exterior
EOS-IN-01-00	7124	Juego MILWUAKEE INCLUSIVO	Juegos inclusivos
EOS-IN-02-00	7120	Juego URBANO INCLUSIVO	Juegos inclusivos
EOS-IN-03-00	22330	Juego CASTILLO INCLUSIVO	Juegos inclusivos
EOS-IN-04-01	32321	Juego INDIANA INCLUSIVO	Juegos inclusivos
EOS-MA-01-00	25233	Juego MADERA A	Escuelas y colegios
EOS-PR-01-02	6082	Juego Verona (EOS-PR-01-02)	Escuelas y colegios
EOS-PR-10-00	6676	Juego Paris (EOS-PR-10-01)	Juegos de exterior
EOS-PR-15-03	6836	Juego Arkansas (EOS-PR-15-03)	Juegos de exterior
EOS-PR-28-00	6795	Juego BALTIMORE	Centro Comercial, Restaurantes y Hoteles
EOS-PR-29-00	6793	Juego BALTIMORE BASIC	Residenciales y fraccionamientos
EOS-PR-34-20	28342	Ensueño	Residenciales y fraccionamientos
EVA-00-02-00	6897	Juego ARACNIDUS	Juegos de exterior
EVA-PL-01-00	6910	Juego GENERATION	Juegos de exterior
EVA-PR-01-20	7751	Juego ATRACTION	Centro Comercial, Restaurantes y Hoteles
GIR-00-01-00	6972	GIRATORIO ORBIT S	Juegos de exterior
GIR-PL-03-00	32097	GIRATORIO ODÍN	Centro Comercial, Restaurantes y Hoteles
GIR-PL-04-00	32099	GIRATORIO SAGA	Centro Comercial, Restaurantes y Hoteles
INT-00-03-00	7828	TUBO DIDACTICO GRANDE	Escuelas y colegios
INT-PL-02-00	7100	PANEL INTERACTIVO MUÑECOS	Escuelas y colegios
INT-PL-03-00	7103	PANEL INTERACTIVO LABERINTO	Escuelas y colegios
