product_id	category_id	category_name	category_slug	parent_category_id
6897	108	Juegos de Escalar	sin-plataforma	70
6899	108	Juegos de Escalar	sin-plataforma	70
6910	108	Juegos de Escalar	sin-plataforma	70
6910	109	Juegos Trepaderos	trepaderos	70
6916	109	Juegos Trepaderos	trepaderos	70
6918	109	Juegos Trepaderos	trepaderos	70
6920	109	Juegos Trepaderos	trepaderos	70
6928	109	Juegos Trepaderos	trepaderos	70
6930	109	Juegos Trepaderos	trepaderos	70
6934	109	Juegos Trepaderos	trepaderos	70
6942	109	Juegos Trepaderos	trepaderos	70
6944	109	Juegos Trepaderos	trepaderos	70
6962	110	Juegos para Jardín	juegos-para-jardin	70
6964	110	Juegos para Jardín	juegos-para-jardin	70
6972	111	Montables	montables	70
6985	111	Montables	montables	70
6992	111	Montables	montables	70
6994	111	Montables	montables	70
6997	111	Montables	montables	70
7000	111	Montables	montables	70
7003	111	Montables	montables	70
7009	114	Resbaladillas	resbaladillas	70
7012	114	Resbaladillas	resbaladillas	70
7014	114	Resbaladillas	resbaladillas	70
7017	114	Resbaladillas	resbaladillas	70
7039	115	Sube y baja	sube-y-baja	70
7043	115	Sube y baja	sube-y-baja	70
7044	129	Lucendi	lucendi	70
7047	115	Sube y baja	sube-y-baja	70
7060	115	Sube y baja	sube-y-baja	70
7065	115	Sube y baja	sube-y-baja	70
7066	115	Sube y baja	sube-y-baja	70
7077	116	Pasamanos	pasamanos	70
7081	116	Pasamanos	pasamanos	70
7086	116	Pasamanos	pasamanos	70
7089	116	Pasamanos	pasamanos	70
7091	84	Juegos Inclusivos	juegos-inclusivos	70
7100	84	Juegos Inclusivos	juegos-inclusivos	70
7103	84	Juegos Inclusivos	juegos-inclusivos	70
7120	84	Juegos Inclusivos	juegos-inclusivos	70
7120	319	Juegos infantiles Centroamerica	juegos-infantiles-centroamerica	70
7122	84	Juegos Inclusivos	juegos-inclusivos	70
7124	84	Juegos Inclusivos	juegos-inclusivos	70
7126	84	Juegos Inclusivos	juegos-inclusivos	70
7126	319	Juegos infantiles Centroamerica	juegos-infantiles-centroamerica	70
7137	119	Juegos infantiles acuáticos	acuaticos	70
7145	119	Juegos infantiles acuáticos	acuaticos	70
7150	119	Juegos infantiles acuáticos	acuaticos	70
7153	119	Juegos infantiles acuáticos	acuaticos	70
7156	119	Juegos infantiles acuáticos	acuaticos	70
7167	119	Juegos infantiles acuáticos	acuaticos	70
7169	119	Juegos infantiles acuáticos	acuaticos	70
7171	119	Juegos infantiles acuáticos	acuaticos	70
7173	119	Juegos infantiles acuáticos	acuaticos	70
7177	119	Juegos infantiles acuáticos	acuaticos	70
7224	121	Pasto sintético	pasto-sintetico	122
7228	121	Pasto sintético	pasto-sintetico	122
7230	121	Pasto sintético	pasto-sintetico	122
7232	121	Pasto sintético	pasto-sintetico	122
7233	121	Pasto sintético	pasto-sintetico	122
7235	121	Pasto sintético	pasto-sintetico	122
7243	74	Botes	botes-de-basura	77
7254	124	Piso de Loseta de Caucho	piso-de-loseta-de-caucho	122
7255	124	Piso de Loseta de Caucho	piso-de-loseta-de-caucho	122
7260	124	Piso de Loseta de Caucho	piso-de-loseta-de-caucho	122
7261	124	Piso de Loseta de Caucho	piso-de-loseta-de-caucho	122
7262	75	Bancas	bancas	77
7263	124	Piso de Loseta de Caucho	piso-de-loseta-de-caucho	122
7265	75	Bancas	bancas	77
7266	124	Piso de Loseta de Caucho	piso-de-loseta-de-caucho	122
7269	124	Piso de Loseta de Caucho	piso-de-loseta-de-caucho	122
7272	124	Piso de Loseta de Caucho	piso-de-loseta-de-caucho	122
7273	124	Piso de Loseta de Caucho	piso-de-loseta-de-caucho	122
7275	125	Jumbo Rubber	jumbo-rubber	122
7277	125	Jumbo Rubber	jumbo-rubber	122
7278	80	Aparcabicicletas	aparcabicicletas	77
7279	125	Jumbo Rubber	jumbo-rubber	122
7281	125	Jumbo Rubber	jumbo-rubber	122
7286	126	Piso Tipo Tartán	piso-tipo-tartan	122
7292	75	Bancas	bancas	77
7303	119	Juegos infantiles acuáticos	acuaticos	70
7307	127	Piso Acuático	piso-acuatico	122
