document_key	relative_path	repository_path	document_type	mime_type	extension	bytes	sha256	canonical_url	attachment_ids	product_ids	product_skus	relation_types
2021/01/BF-112-BANCA-EVEREST.pdf	2021/01/BF-112-BANCA-EVEREST.pdf	media/production/documents/uploads/2021/01/BF-112-BANCA-EVEREST.pdf	technical_pdf	application/pdf	.pdf	1012462	27595eb86da7ff37a6da3b4bd8cefc9ef6a89e0cf21e148db327dd702cc5187a	https://www.productosjumbo.com/wp-content/uploads/2021/01/BF-112-BANCA-EVEREST.pdf	8266	6288	BAN-LP-07-00	content_url
2021/01/BF-165-BANCA-PVC.pdf	2021/01/BF-165-BANCA-PVC.pdf	media/production/documents/uploads/2021/01/BF-165-BANCA-PVC.pdf	technical_pdf	application/pdf	.pdf	873703	14e0894f72aec3f9b206f1db947946ab48bd15368f3605d578355769d661ecc0	https://www.productosjumbo.com/wp-content/uploads/2021/01/BF-165-BANCA-PVC.pdf	8267	6293 | 8314	BAN-PP-01-00 | BAN-PV-02-00	content_url
2021/01/CRL-32-7.0-CONJUNTO-MEDIA-LUNA.pdf	2021/01/CRL-32-7.0-CONJUNTO-MEDIA-LUNA.pdf	media/production/documents/uploads/2021/01/CRL-32-7.0-CONJUNTO-MEDIA-LUNA.pdf	technical_pdf	application/pdf	.pdf	581357	aff4db079896e610165bba7332f07ea9e92ff971b5accd2b89415da3031a7ab0	https://www.productosjumbo.com/wp-content/uploads/2021/01/CRL-32-7.0-CONJUNTO-MEDIA-LUNA.pdf	7855	22323	CON-CR-01-00	content_url
2021/01/JIP-116-1L-PANEL-INTERACTIVO-LABERINTO.pdf	2021/01/JIP-116-1L-PANEL-INTERACTIVO-LABERINTO.pdf	media/production/documents/uploads/2021/01/JIP-116-1L-PANEL-INTERACTIVO-LABERINTO.pdf	technical_pdf	application/pdf	.pdf	580931	d5b4345766b4efcbba60babe46c5a01f6632ef383a0c5790dbc694c02aebe429	https://www.productosjumbo.com/wp-content/uploads/2021/01/JIP-116-1L-PANEL-INTERACTIVO-LABERINTO.pdf	7923	7103	INT-PL-03-00	content_url
2021/01/JIP-116-1M-PANEL-INTERACTIVO-MUNECO.pdf	2021/01/JIP-116-1M-PANEL-INTERACTIVO-MUNECO.pdf	media/production/documents/uploads/2021/01/JIP-116-1M-PANEL-INTERACTIVO-MUNECO.pdf	technical_pdf	application/pdf	.pdf	589694	b947e77d1c771bb342b9b2e378ee5875de14baab8f4b882397d2a91f08a3ee95	https://www.productosjumbo.com/wp-content/uploads/2021/01/JIP-116-1M-PANEL-INTERACTIVO-MUNECO.pdf	7919	7100	INT-PL-02-00	content_url
2021/01/JIP-216-PANELES-INTERACTIVOS.pdf	2021/01/JIP-216-PANELES-INTERACTIVOS.pdf	media/production/documents/uploads/2021/01/JIP-216-PANELES-INTERACTIVOS.pdf	technical_pdf	application/pdf	.pdf	877382	0b98b70b57553c94da5651d003b5ebe2c4e4b30c4ff74da5d25d57ec09ab373c	https://www.productosjumbo.com/wp-content/uploads/2021/01/JIP-216-PANELES-INTERACTIVOS.pdf	7920	7091	INT-PL-04-00	content_url
2021/01/MUA-116-BANCA-TACANA.pdf	2021/01/MUA-116-BANCA-TACANA.pdf	media/production/documents/uploads/2021/01/MUA-116-BANCA-TACANA.pdf	technical_pdf	application/pdf	.pdf	584627	ff41ffe886cf9c964046bbff23f819b2726a80a2d6bf1a9e8bef20aee5e71d2d	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-116-BANCA-TACANA.pdf	8275	6299	BAN-PM-04-00	content_url
2021/01/MUA-118-BANCA-VELETA.pdf	2021/01/MUA-118-BANCA-VELETA.pdf	media/production/documents/uploads/2021/01/MUA-118-BANCA-VELETA.pdf	technical_pdf	application/pdf	.pdf	578627	0b315ab297b97bb83d85009e3e049a53998edba3dc69604dc01f29a8294558b2	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-118-BANCA-VELETA.pdf	8276	6389	BAN-00-02-00	content_url
2021/01/MUA-217-A-BANCA-FUJI-A.pdf	2021/01/MUA-217-A-BANCA-FUJI-A.pdf	media/production/documents/uploads/2021/01/MUA-217-A-BANCA-FUJI-A.pdf	technical_pdf	application/pdf	.pdf	543529	90051b66360c8a48d8ee4110c54fcb3bf1fdf0bbb66eae1b683c34fb69eefd0c	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-217-A-BANCA-FUJI-A.pdf	8277	7262	MUA-217 A-P	content_url
2021/01/MUA-317-BANCA-BARCENA.pdf	2021/01/MUA-317-BANCA-BARCENA.pdf	media/production/documents/uploads/2021/01/MUA-317-BANCA-BARCENA.pdf	technical_pdf	application/pdf	.pdf	538932	1cb40f69a9b7185fd85f0b4e95560d7c8299953a2152d3d7ef2d41cf7bcb1bae	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-317-BANCA-BARCENA.pdf	8279	6354	BAN-PM-07-00	content_url
2021/01/MUA-418-Banca-Aneto.pdf	2021/01/MUA-418-Banca-Aneto.pdf	media/production/documents/uploads/2021/01/MUA-418-Banca-Aneto.pdf	technical_pdf	application/pdf	.pdf	855033	182c89e52129e564ecba8a2659f1c3c70f3366d619e1389271e2c84cbccd944b	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-418-Banca-Aneto.pdf	8271	6400	BAN-MS-03-01	content_url
2021/01/MUA-512-BANCA-ALPES.pdf	2021/01/MUA-512-BANCA-ALPES.pdf	media/production/documents/uploads/2021/01/MUA-512-BANCA-ALPES.pdf	technical_pdf	application/pdf	.pdf	500595	7c7724c3133b667872fa9def147bde9f8b72593afa2f2abea4d2e4c24dc80759	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-512-BANCA-ALPES.pdf	8284	6346	BAN-00-07-00	content_url
2021/01/MUA-517-B-BANCA-LOA-B.pdf	2021/01/MUA-517-B-BANCA-LOA-B.pdf	media/production/documents/uploads/2021/01/MUA-517-B-BANCA-LOA-B.pdf	technical_pdf	application/pdf	.pdf	830974	9ac3835cff6abe86c888b5f91227ce9b62f637c3602e8351fcb4eac8723b9b53	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-517-B-BANCA-LOA-B.pdf	8272	6324	BAN-PP-08-00	content_url
2021/01/MUA-519-BANCA-CURVA.pdf	2021/01/MUA-519-BANCA-CURVA.pdf	media/production/documents/uploads/2021/01/MUA-519-BANCA-CURVA.pdf	technical_pdf	application/pdf	.pdf	542177	c4886f155df6101bc2b30cbb48579e023af11786fd0fdba9c222af979cd83547	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-519-BANCA-CURVA.pdf	8288	6312	BAN-LP-06-00	content_url
2021/01/MUA-617-BANCA-CON-APARCABICICLETAS-PISSIS.pdf	2021/01/MUA-617-BANCA-CON-APARCABICICLETAS-PISSIS.pdf	media/production/documents/uploads/2021/01/MUA-617-BANCA-CON-APARCABICICLETAS-PISSIS.pdf	technical_pdf	application/pdf	.pdf	578480	36928527b578b065555393452764fe43a5482782fe1104f8f28ee6c79528f7a8	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-617-BANCA-CON-APARCABICICLETAS-PISSIS.pdf	8233	6350	BAN-00-05-00	content_url
2021/01/MUA-619-BANCA-CON-PERFILES.pdf	2021/01/MUA-619-BANCA-CON-PERFILES.pdf	media/production/documents/uploads/2021/01/MUA-619-BANCA-CON-PERFILES.pdf	technical_pdf	application/pdf	.pdf	527663	e0a7807fe6cfacbe58ea0af27ec7975dcd798976ae3dbf2e8fc15bad12d49924	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-619-BANCA-CON-PERFILES.pdf	8291	6810	BAN-00-04-00	content_url
2021/01/MUA-915-BANCA-PUMORI.pdf	2021/01/MUA-915-BANCA-PUMORI.pdf	media/production/documents/uploads/2021/01/MUA-915-BANCA-PUMORI.pdf	technical_pdf	application/pdf	.pdf	673985	3bc9185f0adbefde1215181fc5c379850f4e1de14c40a256bdfbb031a0c4909d	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-915-BANCA-PUMORI.pdf	8301	6374 | 8336	BAN-PP-03-00 | BAN-PV-01-00	content_url
2021/01/MUA-919-BANCA-MIKENO.pdf	2021/01/MUA-919-BANCA-MIKENO.pdf	media/production/documents/uploads/2021/01/MUA-919-BANCA-MIKENO.pdf	technical_pdf	application/pdf	.pdf	511068	6de882abc8bdc74d7fab6f8f420af85697291ef147ff4392a95f525dfa534e45	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-919-BANCA-MIKENO.pdf	8302	6390	BAN-PP-09-00	content_url
2021/01/MUA-1013-BANCA-AKIER.pdf	2021/01/MUA-1013-BANCA-AKIER.pdf	media/production/documents/uploads/2021/01/MUA-1013-BANCA-AKIER.pdf	technical_pdf	application/pdf	.pdf	957971	33523fc5b11dbbc0381f300fea76361835cb3a5e09997cb3747a3fecaee5407d	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-1013-BANCA-AKIER.pdf	8303	6330	BAN-LP-04-00	content_url
2021/01/MUA-1015DC-BANCA-LOGAN.pdf	2021/01/MUA-1015DC-BANCA-LOGAN.pdf	media/production/documents/uploads/2021/01/MUA-1015DC-BANCA-LOGAN.pdf	technical_pdf	application/pdf	.pdf	828419	95994f96a6f6cc00ecd50ed70e399e421661e251383ad207d40dadfec2d33f0c	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-1015DC-BANCA-LOGAN.pdf	8305	6341 | 8328	BAN-IN-01-00 | BAN-IN-02-00	content_url
2021/01/MUA-1212-BANCA-PALERMO.pdf	2021/01/MUA-1212-BANCA-PALERMO.pdf	media/production/documents/uploads/2021/01/MUA-1212-BANCA-PALERMO.pdf	technical_pdf	application/pdf	.pdf	1049990	426b0d17955d303a40bcdfa58cb5089256b249467606d15778f0439b3ed162dd	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUA-1212-BANCA-PALERMO.pdf	8306	6335	BAN-LP-03-00	content_url
