product_id	product_sku	product_name	product_status	document_count	pdf_count	zip_count	technical_sheet_count	drawing_2d_count	drawing_2d_package_count	technical_pdf_count	technical_package_count	total_bytes
8350	APA-00-04-00	APARCABICICLETAS ONE MARCO	publish	2	1	1	1	0	1	0	0	1349936
8361	BOT-IX-01-00	BOTE GANGES	publish	2	1	1	1	0	1	0	0	705022
8363	BOL-IX-01-00	BOLARDO 5 INOX	publish	2	1	1	1	0	1	0	0	886406
8364	BOL-IX-02-00	BOLARDO 3 INOX	publish	2	1	1	1	0	1	0	0	711486
19063	COL-AB-02-00	COLUMPIO PP EN A 3 ASIENTOS DE BANDA	publish	1	0	1	0	0	1	0	0	73223
21148	MEC-CR-03-00	Juego CHARLOTTE	publish	2	2	0	1	1	0	0	0	908688
22130	EJE-ID-23-00	EJERCITADOR PARED SUECA Y 2 POSTES	publish	1	0	1	0	0	1	0	0	273192
22188	DEP-MO-01-00	2 BANCAS DE ARBITROS CON TECHUMBRE	publish	2	1	1	1	0	1	0	0	1122896
22209	CAN-PL-03-00	SALTO ARO CANINO	publish	2	1	1	1	0	1	0	0	812134
22323	CON-CR-01-00	CONJUNTO DE MEDIA LUNA	publish	1	1	0	0	0	0	1	0	581357
22370	COL-00-01-00	2 COLUMPIOS ARIA	publish	2	1	1	1	0	1	0	0	972123
22393	MES-LP-04-00	4 MESAS PICNIC CON PERGOLA	publish	2	1	1	1	0	1	0	0	1837922
22421	CMT-320P	MACETA TRAPECIO	publish	2	1	1	1	0	1	0	0	1185490
24818	MEL-CR-01-00	Juego Córdoba	publish	2	2	0	1	1	0	0	0	624922
24820	MEL-CR-02-00	Juego VIZCAYA	publish	2	2	0	1	1	0	0	0	698567
24822	MEL-CR-03-00	Juego VALLADOLID	publish	2	2	0	1	1	0	0	0	609857
24851	EOS-00-04-00	Juego Iggy	publish	1	1	0	1	0	0	0	0	1119573
24883	EJE-EM-01-00	EJERCITADOR DE PIERNAS MEDIUM	publish	1	1	0	1	0	0	0	0	738072
24885	EJE-EM-02-00	EJERCITADOR ABDOMINALES MEDIUM	publish	1	1	0	1	0	0	0	0	771384
24887	EJE-EM-03-00	EJERCITADOR ELIPTICA MEDIUM	publish	1	1	0	1	0	0	0	0	795526
24889	EJE-EM-04-00	EJERCITADOR CAMINADORA MEDIUM	publish	1	1	0	1	0	0	0	0	790212
24891	EJE-EM-05-00	EJERCITADOR POTRO MEDIUM	publish	1	1	0	1	0	0	0	0	714820
24893	EJE-EM-06-00	EJERCITADOR BARRAS PARALELAS MEDIUM	publish	1	1	0	1	0	0	0	0	692731
24895	EJE-EM-07-00	EJERCITADOR BRAZOS Y MUÑECAS MEDIUM	publish	1	1	0	1	0	0	0	0	714305
24897	EJE-EM-08-00	EJERCITADOR MOVIMIENTO DE CINTURA MEDIUM	publish	1	1	0	1	0	0	0	0	667080
24899	EJE-EM-09-00	EJERCITADOR SURFER MEDIUM	publish	1	1	0	1	0	0	0	0	704475
24901	EJE-EM-10-00	EJERCITADOR DE BRAZO MEDIUM	publish	1	1	0	1	0	0	0	0	711899
32297	MEC-CR-06-00	VERONA	publish	2	2	0	1	1	0	0	0	625818
32303	MER-PR-05-00	Juego BRITANIA	publish	2	2	0	1	1	0	0	0	817264
32304	MEC-CR-02-00	Juego ESPAÑA	publish	2	2	0	1	1	0	0	0	864008
32305	MEV-CR-01-00	Juego IBIZA	publish	2	2	0	1	1	0	0	0	622439
32322	MEC-CR-08-00	Juego MAINE INCLUSIVO	publish	2	2	0	1	1	0	0	0	654949
32323	MER-PR-03-00	Juego CALIFORNIA	publish	2	2	0	1	1	0	0	0	733453
32324	MER-PR-04-00	Juego PARIS	publish	2	2	0	1	1	0	0	0	845608
32325	MER-PR-08-00	Juego RANDOLPH	publish	2	2	0	1	1	0	0	0	801415
32326	MER-PR-01-00	Juego ARKANSAS	publish	2	2	0	1	1	0	0	0	880288
32327	MEV-CR-02-00	Juego PARMA	publish	2	2	0	1	1	0	0	0	760089
32328	MEC-CR-07-00	Juego IMPERIO	publish	2	2	0	1	1	0	0	0	1132011
