product_id	product_sku	product_name	product_status	product_slug	post_modified_gmt	description_text	description_source	short_description_text	specifications_text	specifications_source	specifications_confidence	weight	length	width	height	attributes_json	content_has_shortcodes	content_sha256	excerpt_sha256	classification_notes
7272	LBGA-50	Loseta Burbuja Azul Marino	publish	loseta-burbuja-azul-marino-chispas	2025-03-10 19:50:00			Especificaciones: Color: Azul Marino	Especificaciones: Color: Azul Marino	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	969d01dbb8181ba103289efa9bdb509b747ad58a05cf2823cc6920a0cd19a45d	
7273	LBGV-50	Loseta Burbuja Verde	publish	loseta-burbuja-verde-chispas	2025-03-10 19:50:53			Especificaciones: Color: Verde Chispas	Especificaciones: Color: Verde Chispas	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7b1a8eadd2cbbd4a5b462a0d33dafff9c3ab3b9c6e621da928ccdf9f025da680	
7275	PPG1-1	JUMBO RUBBER PG1 A 1 CM	private	loseta-burbuja-verde-chispas-copia	2022-02-24 16:47:24	Piso de caucho colado en sitio con 3 capas de poliuretano La superficie provee gran flexibilidad por ser de caucho y poliuretano.	post_content	Especificaciones: PG1 a 1 cm Metraje mínimo: De 120 m2 a 550 m2	Especificaciones: PG1 a 1 cm Metraje mínimo: De 120 m2 a 550 m2	post_excerpt	high					[]	yes	b8a384a8f54122713719d919f49b1be5c3c93b9384deaf3e1618d86daf248cc1	22ff983340c49f96a78602ce8fd750315746b334c5c4585f0811983a0287c649	
7277	PPG1-2	JUMBO RUBBER PG1 A 2 CM	private	jumbo-rubber-pg1-a-2-cm	2022-02-24 16:51:39	Piso de caucho colado en sitio con 3 capas de poliuretano La superficie provee gran flexibilidad por ser de caucho y poliuretano.	post_content	Especificaciones: PG1 a 2 cm Metraje mínimo: De 120 m2 a 550 m2	Especificaciones: PG1 a 2 cm Metraje mínimo: De 120 m2 a 550 m2	post_excerpt	high					[]	yes	b8a384a8f54122713719d919f49b1be5c3c93b9384deaf3e1618d86daf248cc1	ee0efb586d5756cdac34a9c6ac05c3374f9f85bfbcb1b158299f8a9e1b93e71b	
7278	INOX-214B	Aparcabicicleta Two Circular	private	aparcabicicletas-2-2	2025-03-10 19:52:15			Especificaciones: Largo: 1.20 m Ancho: 0.50 m Alto: 1.20 m Material: Acero inoxidable Aparcabicicletas hecho en acero inoxidable con capacidad para 1 bicicleta.	Especificaciones: Largo: 1.20 m Ancho: 0.50 m Alto: 1.20 m Material: Acero inoxidable Aparcabicicletas hecho en acero inoxidable con capacidad para 1 bicicleta.	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1c1f7d6f467c40055297c3cc4ac96ea028a7ef53bfcaf0bc428a3c590d1281d2	
7279	PPG1-4	JUMBO RUBBER PG1 A 3 CM	private	jumbo-rubber-pg1-a-3-cm	2022-02-24 16:54:11	Piso de caucho colado en sitio con 3 capas de poliuretano La superficie provee gran flexibilidad por ser de caucho y poliuretano.	post_content	Especificaciones: PG1 a 3 cm Metraje mínimo: De 120 m2 a 550 m2	Especificaciones: PG1 a 3 cm Metraje mínimo: De 120 m2 a 550 m2	post_excerpt	high					[]	yes	b8a384a8f54122713719d919f49b1be5c3c93b9384deaf3e1618d86daf248cc1	80e79f1b4a7096ba8698f8c92b42d191703504eee332e4f1fb1d24666295932c	
7281	PPG1-4-1	JUMBO RUBBER PG1 A 4 CM	private	jumbo-rubber-pg1-a-4-cm	2022-02-24 16:56:39	Piso de caucho colado en sitio con 3 capas de poliuretano La superficie provee gran flexibilidad por ser de caucho y poliuretano.	post_content	Especificaciones: PG1 a 4 cm Metraje mínimo: De 120 m2 a 550 m2	Especificaciones: PG1 a 4 cm Metraje mínimo: De 120 m2 a 550 m2	post_excerpt	high					[]	yes	b8a384a8f54122713719d919f49b1be5c3c93b9384deaf3e1618d86daf248cc1	d50869006ea7e85bb4ab95e36eeee9ba0cca93e3d91ca101ece44d79b47f8e30	
7286	PPTT-13	JUMBO RUBBER SPORT TIPO TARTAN A 13 MM	publish	jumbo-rubber-sport-tipo-tartan-a-13-mm	2022-02-24 16:33:57	Es un sistema de 4 capas; 1era. Capa por un primer de poliuretano para garantizar la adherencia del material sintético a la base, 2a. Capa amortiguante de 11 mm fabricada con hule SBR, de 1 a 4 mm de espesor en Color Negro aglomerada con resinas de poliuretano. 3era. y Cuarta Capa de tracción de 2 mm, fabricada con hule EPDM en color terracota y resina de poliuretano de dos componentes.	post_content	Especificaciones: Colado en sitio 100% ecológico Absorción de impactos Protección contra golpes y caídas No tóxico	Especificaciones: Colado en sitio 100% ecológico Absorción de impactos Protección contra golpes y caídas No tóxico	post_excerpt	high					[]	yes	add874ac4aa37f17d70f0ec6062480307956d2e5f97dbbeed74e2881b14495ab	9f8caafa32a1f55e8e9c7e5ce44ceae7ff3a8bbf188818afc082e864f31ab808	
7292	BAN-CR-04-00	BANCA VINSONS KLEIN	publish	klein-asiento-de-fibra-de-vidrio	2026-04-20 19:26:07			Especificaciones: Largo: 0.55 m Ancho: 0.55 m Alto: 0.40 m Capacidad: 1 persona Material: Fibra de vidrio	Especificaciones: Largo: 0.55 m Ancho: 0.55 m Alto: 0.40 m Capacidad: 1 persona Material: Fibra de vidrio	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6840a538548bc5d62ecf4c52f021697fb8551093a0fa70322e47ccfa46c046fd	
7303	JAI-719	PULPO SPRAY	publish	pulpo-spray-2	2026-03-26 22:23:56			Especificaciones: Alto: 1.80 m Ancho: 5 m Fabricado en fibra de vidrio tricapa con acabado en pintura automotiva y poliuretano de alta resistencia. Fijación en base tipo brica de acero inoxidable con tornilleria de acero inoxidable. Colores: Rojo, Verde, Azul, Morado	Especificaciones: Alto: 1.80 m Ancho: 5 m Fabricado en fibra de vidrio tricapa con acabado en pintura automotiva y poliuretano de alta resistencia. Fijación en base tipo brica de acero inoxidable con tornilleria de acero inoxidable. Colores: Rojo, Verde, Azul, Morado	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e932bf9986d896b849299493e4040bc2a073b20adee694239819186b0e8c2a0d	
7307	PPR1-2-1	Jumbo Rubber Sport Tipo Tartan A 13 mm	private		2021-01-23 12:38:05			Especificaciones: Superficie flexible ecológica, elaborado con triturado de llantas, aglutinado con resinas 100% sólidas de la más alta calidad y cubierto con una membrana de poliuretano de alta elongación y un top coat impermeable, antiderrapante, con resistencia a los rayos ultravioleta, la abrasión, álcalis y agentes ácidos. Ideal para áreas con constante contacto con el agua.	Especificaciones: Superficie flexible ecológica, elaborado con triturado de llantas, aglutinado con resinas 100% sólidas de la más alta calidad y cubierto con una membrana de poliuretano de alta elongación y un top coat impermeable, antiderrapante, con resistencia a los rayos ultravioleta, la abrasión, álcalis y agentes ácidos. Ideal para áreas con constante contacto con el agua.	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	259577c538d756fb61907f719383feffa1b44835d399402c820ccd175947413b	
7383	EL-118-4C	INFINITO	publish	escultura-ludica-infinito	2026-03-26 22:23:42			Especificaciones: Largo: 7.35 m Ancho: 6.90 m Alto: 2.20 m Capacidad: 30 niños	Especificaciones: Largo: 7.35 m Ancho: 6.90 m Alto: 2.20 m Capacidad: 30 niños	post_excerpt	high					[]	yes	3bf8dbd86f1539d0cd92b083b14a0ce6b40b432c6910084b0ff6762942711d7e	cd727da2e7f8153ad2a147a69d0a079d11c1d19a086ffbe8a7c3a60843ff4af7	
7395	EL-619-4C	TRAPIST	publish	escultura-ludica-trapist	2026-03-26 22:23:42	Las Esculturas Lúdicas son estructuras de grandes dimensiones. Estas son pensadas para que los niños y jóvenes puedan convivir y jugar en un espacio arquitectónico. De la mano de Ariel Rojo y Productos Jumbo creamos estos elementos modulares que permiten crear espacios únicos.	post_content	Especificaciones: Largo: 11.90 m Ancho: 7.35 m Alto: 2.20 m Capacidad: 25 niños	Especificaciones: Largo: 11.90 m Ancho: 7.35 m Alto: 2.20 m Capacidad: 25 niños	post_excerpt	high					[]	yes	72d6186d56f1a7de84d2fa4f41fd06f6f1caa3c439babaee952707a4d2611482	4c7c4f3ac68e202423e07e71bd792cd8d2c68e09ee0036bc2f5341a1cc6c037e	
7405	EL-1519-4C	MILLER	publish	escultura-ludica-miller	2026-03-26 22:23:43	Las Esculturas Lúdicas son estructuras de grandes dimensiones. Estas son pensadas para que los niños y jóvenes puedan convivir y jugar en un espacio arquitectónico. De la mano de Ariel Rojo y Productos Jumbo creamos estos elementos modulares que permiten crear espacios únicos.	post_content	Especificaciones: Largo: 12.00 m Ancho: 8.90 m Alto: 2.30 m Capacidad: 25 niños	Especificaciones: Largo: 12.00 m Ancho: 8.90 m Alto: 2.30 m Capacidad: 25 niños	post_excerpt	high					[]	yes	77808e543e6702f374e3995573f1f6b9dee3fca1cd46190708b29f06387f7270	7b89b220c9d1a9b353104def5777b1c749cb612e6c310b7c17f41685948ffc60	
7407	EL-1619-4C	SIRIUS	publish	escultura-ludica-sirius	2026-03-26 22:23:42	Las Esculturas Lúdicas son estructuras de grandes dimensiones. Estas son pensadas para que los niños y jóvenes puedan convivir y jugar en un espacio arquitectónico. De la mano de Ariel Rojo y Productos Jumbo creamos estos elementos modulares que permiten crear espacios únicos.	post_content	Especificaciones: Largo: 11.25 m Ancho: 10.40 m Alto: 3.00 m Capacidad: 30 niños	Especificaciones: Largo: 11.25 m Ancho: 10.40 m Alto: 3.00 m Capacidad: 30 niños	post_excerpt	high					[]	yes	77808e543e6702f374e3995573f1f6b9dee3fca1cd46190708b29f06387f7270	a789810bd5265e993348379e9de99e6d93afd1b3f6f758990b85b0112485ad4d	
7411	COL-PT-02-00	COLUMPIO LUCENDI	publish	columpio-lucendi	2026-03-26 22:26:15			Especificaciones: Largo: 3.95 m Ancho: 1.30 m Alto: 2.55 m Área mínima: 7.55 m x 5.20 m Instalación especializada	Especificaciones: Largo: 3.95 m Ancho: 1.30 m Alto: 2.55 m Área mínima: 7.55 m x 5.20 m Instalación especializada	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8b6e6614ab7ffc0354af9f57e1232cae34f1bbe43d2425c2e6295f60ddfcbb77	
