product_id	product_sku	product_name	product_status	spec_key	spec_label	value_text	value_1	value_2	unit	source	source_confidence	ordinal	raw_label	raw_value
6115	IOS-PR-02-00	Juego New Jersey (IOS-115 7.0)	private	width	Ancho	3.78 m	3.78		m	post_excerpt	high	2	Ancho	3.78 m
6115	IOS-PR-02-00	Juego New Jersey (IOS-115 7.0)	private	height	Alto	3.65 m	3.65		m	post_excerpt	high	3	Alto	3.65 m
6115	IOS-PR-02-00	Juego New Jersey (IOS-115 7.0)	private	minimum_area	Área mínima	8.45 m × 7.25 m	8.45	7.25	m	post_excerpt	high	4	Área mínima	8.45 m X 7.25 m
6115	IOS-PR-02-00	Juego New Jersey (IOS-115 7.0)	private	capacity	Capacidad	10 personas	10		persona	post_excerpt	high	5	Capacidad	10 niños
6154	TDF-CR-05-01	Juego Valladolid	private	length	Largo	6.45 m	6.45		m	post_excerpt	high	1	Largo	6.45 m
6154	TDF-CR-05-01	Juego Valladolid	private	width	Ancho	6.45 m	6.45		m	post_excerpt	high	2	Ancho	6.45 m
6154	TDF-CR-05-01	Juego Valladolid	private	height	Alto	3.40 m	3.40		m	post_excerpt	high	3	Alto	3.40 m
6154	TDF-CR-05-01	Juego Valladolid	private	minimum_area	Área mínima	10.40 m × 9.60 m	10.40	9.60	m	post_excerpt	high	4	Área mínima	10.40 m X 9.60 m
6154	TDF-CR-05-01	Juego Valladolid	private	capacity	Capacidad	20 personas	20		persona	post_excerpt	high	5	Capacidad	20 niños
6156	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	publish	length	Largo	2.60 m	2.60		m	post_excerpt	high	1	Largo	2.60 m
6156	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	publish	width	Ancho	0.90 m	0.90		m	post_excerpt	high	2	Ancho	0.90 m
6156	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	publish	height	Alto	2.00 m	2.00		m	post_excerpt	high	3	Alto	2.00 m
6156	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	publish	minimum_area	Área mínima	3.60 m × 1.90 m	3.60	1.90	m	post_excerpt	high	4	Área mínima	3.60 m X 1.90 m
6156	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	publish	capacity	Capacidad	2 personas	2		persona	post_excerpt	high	5	Capacidad	2 personas
6181	EJE-FO-05-00	EJERCITADOR SURFER FORTE	publish	length	Largo	1.40 m	1.40		m	post_excerpt	high	1	Largo	1.40 m
6181	EJE-FO-05-00	EJERCITADOR SURFER FORTE	publish	width	Ancho	0.60 m	0.60		m	post_excerpt	high	2	Ancho	0.60 m
6181	EJE-FO-05-00	EJERCITADOR SURFER FORTE	publish	height	Alto	2.00 m	2.00		m	post_excerpt	high	3	Alto	2.00 m
6181	EJE-FO-05-00	EJERCITADOR SURFER FORTE	publish	minimum_area	Área mínima	2.80 m × 1.90 m	2.80	1.90	m	post_excerpt	high	4	Área mínima	2.80 m X 1.90 m
6181	EJE-FO-05-00	EJERCITADOR SURFER FORTE	publish	capacity	Capacidad	2 personas	2		persona	post_excerpt	high	5	Capacidad	2 personas
6185	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	publish	length	Largo	2.20 m	2.20		m	post_excerpt	high	1	Largo	2.20 m
6185	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	publish	width	Ancho	0.60 m	0.60		m	post_excerpt	high	2	Ancho	0.60 m
6185	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	publish	height	Alto	2.00 m	2.00		m	post_excerpt	high	3	Alto	2.00 m
6185	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	publish	minimum_area	Área mínima	3.60 m × 1.90 m	3.60	1.90	m	post_excerpt	high	4	Área mínima	3.60 m X 1.90 m
6185	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	publish	capacity	Capacidad	2 personas	2		persona	post_excerpt	high	5	Capacidad	2 personas
6187	EJE-FO-11-00	EJERCITADOR PECHO FORTE	publish	length	Largo	2.55 m	2.55		m	post_excerpt	high	1	Largo	2.55 m
6187	EJE-FO-11-00	EJERCITADOR PECHO FORTE	publish	width	Ancho	0.70 m	0.70		m	post_excerpt	high	2	Ancho	0.70 m
6187	EJE-FO-11-00	EJERCITADOR PECHO FORTE	publish	height	Alto	2.00 m	2.00		m	post_excerpt	high	3	Alto	2.00 m
6187	EJE-FO-11-00	EJERCITADOR PECHO FORTE	publish	minimum_area	Área mínima	3.60 m × 1.90 m	3.60	1.90	m	post_excerpt	high	4	Área mínima	3.60 m X 1.90 m
6187	EJE-FO-11-00	EJERCITADOR PECHO FORTE	publish	capacity	Capacidad	2 personas	2		persona	post_excerpt	high	5	Capacidad	2 personas
6190	EJE-FO-08-00	EJERCITADOR ELIPTICA FORTE	publish	length	Largo	2.95 m	2.95		m	post_excerpt	high	1	Largo	2.95 m
6190	EJE-FO-08-00	EJERCITADOR ELIPTICA FORTE	publish	width	Ancho	0.90 m	0.90		m	post_excerpt	high	2	Ancho	0.90 m
6190	EJE-FO-08-00	EJERCITADOR ELIPTICA FORTE	publish	height	Alto	2.00 m	2.00		m	post_excerpt	high	3	Alto	2.00 m
6190	EJE-FO-08-00	EJERCITADOR ELIPTICA FORTE	publish	minimum_area	Área mínima	4.00 m × 1.90 m	4.00	1.90	m	post_excerpt	high	4	Área mínima	4.00 m X 1.90 m
6190	EJE-FO-08-00	EJERCITADOR ELIPTICA FORTE	publish	capacity	Capacidad	2 personas	2		persona	post_excerpt	high	5	Capacidad	2 personas
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	length	Largo	2.65 m	2.65		m	post_excerpt	high	1	Largo	2.65 m
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	width	Ancho	0.75 m	0.75		m	post_excerpt	high	2	Ancho	0.75 m
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	height	Alto	2.00 m	2.00		m	post_excerpt	high	3	Alto	2.00 m
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	minimum_area	Área mínima	3.45 m × 1.10 m	3.45	1.10	m	post_excerpt	high	4	Área mínima	3.45 m X 1.10 m
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	capacity	Capacidad	2 personas	2		persona	post_excerpt	high	5	Capacidad	2 personas
6194	EJE-FO-03-00	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	publish	length	Largo	1.85 m	1.85		m	post_excerpt	high	1	Largo	1.85 m
6194	EJE-FO-03-00	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	publish	width	Ancho	0.75 m	0.75		m	post_excerpt	high	2	Ancho	0.75 m
6194	EJE-FO-03-00	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	publish	height	Alto	2.00 m	2.00		m	post_excerpt	high	3	Alto	2.00 m
6194	EJE-FO-03-00	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	publish	minimum_area	Área mínima	2.60 m × 1.90 m	2.60	1.90	m	post_excerpt	high	4	Área mínima	2.60 m X 1.90 m
6194	EJE-FO-03-00	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	publish	capacity	Capacidad	2 personas	2		persona	post_excerpt	high	5	Capacidad	2 personas
6197	EJE-FO-04-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE	publish	length	Largo	1.75 m	1.75		m	post_excerpt	high	1	Largo	1.75 m
6197	EJE-FO-04-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE	publish	width	Ancho	1.00 m	1.00		m	post_excerpt	high	2	Ancho	1.00 m
6197	EJE-FO-04-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE	publish	height	Alto	2.00 m	2.00		m	post_excerpt	high	3	Alto	2.00 m
