product_id	product_name	product_slug	post_status	post_date	post_modified	sku	description_chars	short_description_chars	thumbnail_id	gallery_image_ids
6247	BOTE ZAIRE	bote-zaire	publish	2020-12-29 22:07:18	2026-03-26 16:32:15	BOT-LP-05-00	0	1342	22596	
6249	Ejercitador Aros Corto Y 2 Postes (AID-118)	aros-cortos-y-2-postes	draft	2020-12-29 22:08:07	2026-04-27 16:47:14	EJE-ID-10-00	0	1381	6252	
6251	BOTE RIN	bote-rin	publish	2020-12-29 22:09:47	2026-04-27 16:46:48	BOT-LP-04-00	0	207	32096	
6254	EJERCITADOR AROS LARGO Y 2 POSTES	aros-largos-y-2-postes	publish	2020-12-29 22:10:49	2026-04-27 16:47:01	EJE-ID-11-00	0	184	6258	
6255	BOTE RIN DOBLE	bote-rin-doble	publish	2020-12-29 22:11:24	2026-03-26 16:32:14	BOT-LP-04-01	0	1342	6806	
6256	BOTE RIN TRIPLE	bote-rin-triple	publish	2020-12-29 22:12:25	2026-03-26 16:32:14	BOT-LP-04-02	0	1306	6807	23295
6259	Ejercitador Barras De Estiramiento Y 4 Postes (AID-1518)	barras-de-estiramiento-y-4-postes	publish	2020-12-29 22:15:19	2023-03-13 21:44:14	EJE-ID-12-00	0	1397	6262	
6260	BOTE PARANA	bote-parana	publish	2020-12-29 22:15:26	2026-03-26 16:32:13	BOT-LP-01-00	0	1322	29537	
6264	BOTE MISISIPI	bote-misisipi	publish	2020-12-29 22:18:24	2026-03-26 19:42:02	BOT-LP-05-01	0	2626	6266	
6267	BOTE CUADRADO	bote-cuadrado	publish	2020-12-29 22:19:54	2026-03-26 16:32:16	BOT-00-05-00	0	2615	6270	
6271	BOTE CIRCULAR	bote-circular-con-madera	publish	2020-12-29 22:21:17	2026-03-26 16:32:16	BOT-PM-01-00	0	1498	22603	
6278	BOTE ONON	bote-onon	publish	2020-12-29 22:22:39	2026-03-26 16:32:17	BOT-PL-01-00	0	1322	6280	
6283	BANCA HIMALAYA	banca-himalaya	publish	2020-12-29 22:25:41	2026-03-26 16:32:18	BAN-00-09-00	0	1388	25973	
6285	Ejercitador Pasamanos Y 6 Postes	pasamanos-y-6-postes	publish	2020-12-29 22:26:14	2026-02-26 22:34:08	EJE-EST-02-00	0	1384	32104	
6288	BANCA EVEREST	banca-everest	publish	2020-12-29 22:28:02	2026-03-26 16:32:19	BAN-LP-07-00	0	1425	6290	
6293	BANCA PMP PLASTIMADERA	banca-pmp	publish	2020-12-29 22:29:29	2026-03-26 16:32:21	BAN-PP-01-00	0	1652	30670	
6299	BANCA TÁCANA	banca-tacana	publish	2020-12-29 22:32:30	2026-03-26 16:32:18	BAN-PM-04-00	1159	1649	20089	22027
6310	Ejercitador Barras Dominadas Y 2 Postes (AID-1218)	barras-dominadas-y-2-postes	publish	2020-12-29 22:38:09	2023-03-13 21:40:12	EJE-ID-22-00	0	1385	6313	
6312	BANCA CIRCULAR	banca-curva	publish	2020-12-29 22:39:39	2026-03-26 16:32:19	BAN-LP-06-00	0	1466	6317	
6318	BANCA LOA LAMINA	banca-con-perfiles	publish	2020-12-29 22:41:26	2026-03-26 16:32:17	BAN-00-01-00	0	2587	22625	
6324	BANCA LOA PLASTIMADERA	banca-loa-b	publish	2020-12-29 22:45:24	2026-03-26 19:42:02	BAN-PP-08-00	1130	1591	6325	22028,22029
6330	BANCA AKIER	banca-akier	publish	2020-12-29 22:48:12	2026-03-26 16:32:20	BAN-LP-04-00	0	1427	29340	
6335	BANCA PALERMO	banca-palermo	publish	2020-12-29 22:50:12	2026-03-26 16:32:19	BAN-LP-03-00	0	1429	22631	
6337	Ejercitador Barras Paralelas Y 2 Postes (AID-1818)	barras-paralelas-y-2-postes	draft	2020-12-29 22:51:31	2026-04-27 16:47:14	EJE-ID-28-00	0	1385	6342	
6341	BANCA LOGAN INCLUSIVA	banca-logan	publish	2020-12-29 22:54:00	2026-03-26 16:32:20	BAN-IN-01-00	1129	1670	6813	
6345	Ejercitador Barras Dominadas Y 3 Postes (AID-1918)	barras-dominadas-y-3-postes	private	2020-12-29 22:56:24	2023-03-13 21:31:44	EJE-ID-30-00	0	1385	6347	
6346	BANCA ALPES	banca-alpes	publish	2020-12-29 22:56:44	2026-03-26 16:32:17	BAN-00-07-00	0	1376	6348	22191
6350	BANCA PISSIS	banca-pissis	publish	2020-12-29 22:58:41	2026-03-26 16:32:18	BAN-00-05-00	0	1454	20996	
6353	EJERCITADOR JUMP BOX	jump-box	publish	2020-12-29 23:00:05	2026-03-26 16:32:48	EJE-ID-32-00	0	1422	6355	
