product_id	product_sku	product_name	product_status	unique_images	featured_images	gallery_images	parented_attachments	content_images	image_paths
6414	BAN-CR-01-00	BANCA VINSONS	publish	1	1	0	1	0	2020/12/MUA-1317.png
6416	CIR-00-09-00	CIRCUITO DE EJERCICIOS	publish	2	1	0	2	0	2020/12/DCP-151.png | 2026/03/CIR-00-09-00-CIRCUITO-DE-EJERCICIOS.avif
6423	CIR-00-10-00	CIRCUITO HEXÁGONO DE EJERCICIO	publish	3	1	2	3	0	2020/12/DCP-152.png | 2020/12/conjunto-de-ejercicios-hexagono.jpg | 2020/12/conjunto-de-ejercicios-hexagono2.jpg
6425	CIR-00-11-00	CIRCUITO NINJA	publish	2	1	0	2	0	2020/12/CPD-117.png | 2026/03/CIR-00-11-00-CIRCUITO-NINJA.avif
6426	BAN-CR-02-00	BANCA DEVI	publish	1	1	0	1	0	2020/12/MUA-1517-banca-en-fibra-de-vidrio.jpg
6429	MES-PP-03-00	MESA DE PICNIC	publish	3	1	1	1	1	2020/12/mesa-picnic-plastimadera-productos-jumbo.jpg | 2021/01/Eco-Jumbo-2022-logo-300x292.png | 2021/12/mesas-para-parques.jpg
6431	MES-PM-01-00	MESA DE PICNIC PLASTIMADERA	publish	3	1	0	1	1	2020/12/MUM-112.png | 2021/01/Eco-Jumbo-2022-logo-300x292.png | 2026/04/MES-PM-01-00-MESA-DE-PICNIC-PLASTIMADERA.avif
6433	MES-LP-03-00	MESA NUPTSE	publish	1	1	0	1	0	2020/12/MUM-212.png
6435	MES-LP-02-00	MESA KENYA	publish	2	1	0	2	0	2020/12/MUM-213.png | 2020/12/Mesa-Kenia-MES-LP-02-00.webp
6436	MES-LP-02-01	MESA KENYA CON SOMBRILLA	publish	3	1	0	3	0	2020/12/MUM-213-1.png | 2020/12/Mesa-Kenia-V1-MUM-213-1.jpg | 2020/12/Mesa-Kenia-con-Sombrilla-MES-LP-02-01-500-x-700.webp
6438	MES-PM-02-00	MESA KENYA PLASTIMADERA	publish	3	1	0	2	1	2020/12/MUM-213-2.png | 2020/12/MUM-213-incorrecto.png | 2021/01/Eco-Jumbo-2022-logo-300x292.png
6441	MES-IN-01-00	MESA DE PICNIC INCLUSIVA	publish	2	1	0	1	1	2020/12/MUM-118-1.png | 2021/01/Eco-Jumbo-2022-logo-300x292.png
6443	MES-LP-06-00	MESA PICNIC JAYA	publish	1	1	0	1	0	2020/12/MUM-216.png
6445	APA-00-05-00	APARCABICICLETA ONE RECTANGULAR	publish	1	1	0	1	0	2020/12/MUB-716.png
6448	APA-00-06-00	APARCABICICLETA SIX ONDULADO	publish	1	1	0	1	0	2020/12/Aparcabicicletas-Six-Ondulado-MUB-212.jpg
6465	EJE-PE-01-00	EJERCITADOR BARRA DE PESAS	publish	1	1	0	1	0	2020/12/AEP-418.png
6467	APA-00-01-00	APARCABICICLETA ONE CURVO	publish	1	1	0	1	0	2020/12/MUB-413-Aparcabicicletas-amarillo.png
6470	EJE-PE-02-00	EJERCITADOR PECHO Y ESPALDA CON PESAS	publish	1	1	0	1	0	2020/12/AEP-318.png
6472	APA-00-03-00	APARCABICICLETA ONE SEMIONDULADO	publish	1	1	0	1	0	2020/12/MUB-118.png
6474	APA-00-07-00	APARCABICICLETA THREE TRIANGULAR	publish	1	1	0	1	0	2020/12/MUB-518.png
6482	SEÑ-00-13-00	SEÑALETICA ARBOL	publish	1	1	0	1	0	2020/12/senaletica-arbol-productos-jumbo.jpg
6484	SEÑ-00-04-00	SEÑALETICA CUBICA	publish	1	1	0	1	0	2020/12/ESI-214.png
6486	SEÑ-00-03-00	SEÑALETICA BASTON	publish	1	1	0	1	0	2020/12/ESI-217.png
6488	SEÑ-00-05-00	Señalética Bandera (ESI-312)	publish	2	1	0	2	0	2020/12/ESI-312.png | 2026/03/SEN-00-05-00-SENALETICA-BANDERA.avif
6490	SEÑ-00-06-00	SEÑALETICA VERTICAL	publish	1	1	0	1	0	2020/12/ESI-314.png
