product_id	product_sku	product_name	product_status	relative_path	repository_path	mime_type	attachment_ids	roles
6088	IOS-PR-01-00	Juego Ibiza (IOS-PR-01-00)	draft	2020/12/modulo-ibiza-OS-PR-01-00.jpg	media/production/uploads/2020/12/modulo-ibiza-OS-PR-01-00.jpg	image/jpeg	24816	parented_attachment
6088	IOS-PR-01-00	Juego Ibiza (IOS-PR-01-00)	draft	2020/12/modulo-ibiza-juego-infantil-productos-jumbo.jpg	media/production/uploads/2020/12/modulo-ibiza-juego-infantil-productos-jumbo.jpg	image/jpeg	28151	featured_image | parented_attachment
6101	EOS-PR-06-00	Private: Juego Gordon (EOS-PR-06-00)	private	2020/12/modulo-gordon-EOS-PR-06-00.jpg	media/production/uploads/2020/12/modulo-gordon-EOS-PR-06-00.jpg	image/jpeg	24815	parented_attachment
6101	EOS-PR-06-00	Private: Juego Gordon (EOS-PR-06-00)	private	2020/12/modulo-gordon-juego-infantil-productos-jumbo.jpg	media/production/uploads/2020/12/modulo-gordon-juego-infantil-productos-jumbo.jpg	image/jpeg	28152	featured_image | parented_attachment
6113	MEC-CR-05-00	Juego SIENA	publish	2020/12/juego-siena-para-parques-resbaladillas.jpg	media/production/uploads/2020/12/juego-siena-para-parques-resbaladillas.jpg	image/jpeg	21908	parented_attachment
6113	MEC-CR-05-00	Juego SIENA	publish	2020/12/juego-siena-para-parques-subida.jpg	media/production/uploads/2020/12/juego-siena-para-parques-subida.jpg	image/jpeg	21909	parented_attachment
6113	MEC-CR-05-00	Juego SIENA	publish	2020/12/modulo-siena-EOS-PR-05-00.jpg	media/production/uploads/2020/12/modulo-siena-EOS-PR-05-00.jpg	image/jpeg	24817	parented_attachment
6113	MEC-CR-05-00	Juego SIENA	publish	2020/12/modulo-siena-juego-infantil-productos-jumbo.jpg	media/production/uploads/2020/12/modulo-siena-juego-infantil-productos-jumbo.jpg	image/jpeg	28170	parented_attachment
6113	MEC-CR-05-00	Juego SIENA	publish	2026/07/Juego-Siena-EOS-PR-05-00-im.avif	media/production/uploads/2026/07/Juego-Siena-EOS-PR-05-00-im.avif	image/avif	32515	gallery_image
6113	MEC-CR-05-00	Juego SIENA	publish	2026/07/Juego-Siena-EOS-PR-05-00-top.avif	media/production/uploads/2026/07/Juego-Siena-EOS-PR-05-00-top.avif	image/avif	32516	gallery_image
